For Account:,#####6267,,,,,,,
,,,,,,,,
,,,,,,,,
TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
,,,,,,,,
10/14/2024,Bought To Open,OPTN,SPY Sep 30 '25 $550 Call,5,-35957.56,71.91,2.5,SPY Sep 30 '25 $550 Call
10/14/2024,Sold To Close,OPTN,SPY Sep 30 '25 $540 Call,-5,39791.32,79.59,2.5,SPY Sep 30 '25 $540 Call
10/11/2024,Bought To Cover,OPTN,SPY Oct 14 '24 $579 Call,5,-982.56,1.96,2.56,SPY Oct 14 '24 $579 Call
10/11/2024,Sold Short,OPTN,SPY Oct 14 '24 $579 Call,-1,101.48,1.02,0.52,SPY Oct 14 '24 $579 Call
10/11/2024,Bought To Cover,OPTN,SPY Oct 11 '24 $577 Call,2,-233.02,1.16,1.02,SPY Oct 11 '24 $577 Call
10/11/2024,Sold Short,OPTN,SPY Oct 14 '24 $579 Call,-1,102.48,1.03,0.52,SPY Oct 14 '24 $579 Call
10/11/2024,Bought To Cover,OPTN,SPY Oct 11 '24 $577 Call,3,-346.53,1.15,1.53,SPY Oct 11 '24 $577 Call
10/11/2024,Sold Short,OPTN,SPY Oct 14 '24 $579 Call,-3,301.45,1.01,1.54,SPY Oct 14 '24 $579 Call
10/10/2024,Sold Short,OPTN,SPY Oct 11 '24 $577 Call,-5,512.41,1.03,2.58,SPY Oct 11 '24 $577 Call
10/10/2024,Bought To Cover,OPTN,SPY Oct 11 '24 $579 Call,5,-202.56,0.4,2.56,SPY Oct 11 '24 $579 Call
10/10/2024,Sold Short,OPTN,SPY Oct 11 '24 $579 Call,-5,472.41,0.95,2.58,SPY Oct 11 '24 $579 Call
10/10/2024,Bought To Cover,OPTN,SPY Oct 10 '24 $578 Call,5,-177.56,0.35,2.56,SPY Oct 10 '24 $578 Call
10/9/2024,Transfer, , ,0,-500,0,0,ACH WITHDRAWL  REFID:119084270906;
10/9/2024,Sold Short,OPTN,SPY Oct 10 '24 $578 Call,-5,472.41,0.95,2.58,SPY Oct 10 '24 $578 Call
10/9/2024,Bought To Cover,OPTN,SPY Oct 09 '24 $576 Call,5,-207.56,0.41,2.56,SPY Oct 09 '24 $576 Call
10/8/2024,Transfer, , ,0,-1000,0,0,ACH WITHDRAWL  REFID:118973170906;
10/8/2024,Sold Short,OPTN,SPY Oct 09 '24 $576 Call,-5,182.42,0.37,2.57,SPY Oct 09 '24 $576 Call
10/8/2024,Bought To Cover,OPTN,SPY Oct 08 '24 $570 Call,5,-1257.56,2.51,2.56,SPY Oct 08 '24 $570 Call
10/7/2024,Adjustment, , ,0,1.58,0,0,TRNSFR CASH TO MARGIN
10/7/2024,Adjustment, , ,0,-1.58,0,0,TRNSFR CASH TO MARGIN
10/7/2024,Transfer, , ,0,-3500,0,0,ACH WITHDRAWL  REFID:118885080906;
10/7/2024,Bought To Cover,OPTN,SPY Oct 08 '24 $575 Call,5,-72.56,0.14,2.56,SPY Oct 08 '24 $575 Call
10/7/2024,Sold Short,OPTN,SPY Oct 08 '24 $570 Call,-5,572.41,1.15,2.58,SPY Oct 08 '24 $570 Call
10/7/2024,Bought To Open,OPTN,SPY Sep 30 '25 $540 Call,5,-35397.56,70.79,2.56,SPY Sep 30 '25 $540 Call
10/7/2024,Sold To Close,OPTN,SPY Dec 19 '25 $535 Call,-5,40141.31,80.29,3.68,SPY Dec 19 '25 $535 Call
10/7/2024,Bought To Cover,OPTN,SPY Oct 07 '24 $575 Call,5,-30.06,0.06,0.06,SPY Oct 07 '24 $575 Call
10/7/2024,Sold Short,OPTN,SPY Oct 08 '24 $575 Call,-5,257.42,0.52,2.57,SPY Oct 08 '24 $575 Call
10/4/2024,Sold Short,OPTN,SPY Oct 07 '24 $575 Call,-5,222.42,0.45,2.57,SPY Oct 07 '24 $575 Call
10/4/2024,Bought To Cover,OPTN,SPY Oct 04 '24 $570 Call,5,-647.56,1.29,2.56,SPY Oct 04 '24 $570 Call
10/3/2024,Transfer, , ,0,-2500,0,0,ACH WITHDRAWL  REFID:118642157906;
10/3/2024,Bought To Cover,OPTN,SPY Oct 03 '24 $570 Call,5,-67.56,0.13,2.56,SPY Oct 03 '24 $570 Call
10/3/2024,Sold Short,OPTN,SPY Oct 04 '24 $570 Call,-5,812.4,1.63,2.59,SPY Oct 04 '24 $570 Call
10/2/2024,Transfer, , ,0,-2500,0,0,ACH WITHDRAWL  REFID:118522333906;
10/2/2024,Bought To Cover,OPTN,SPY Oct 02 '24 $570 Call,5,-92.56,0.18,2.56,SPY Oct 02 '24 $570 Call
10/2/2024,Sold Short,OPTN,SPY Oct 03 '24 $570 Call,-5,762.4,1.53,2.59,SPY Oct 03 '24 $570 Call
10/1/2024,Bought To Cover,OPTN,SPY Oct 01 '24 $577 Call,5,-10.06,0.02,0.06,SPY Oct 01 '24 $577 Call
10/1/2024,Sold Short,OPTN,SPY Oct 02 '24 $570 Call,-5,877.4,1.76,2.59,SPY Oct 02 '24 $570 Call
9/30/2024,Transfer, , ,0,-3500,0,0,ACH WITHDRAWL  REFID:118307051906;
9/30/2024,Interest,MMF,CBP,-0.01,0.01,0,0,CASH BALANCE PROGRAM (Period 09/23-09/30)
9/30/2024,Sold Short,OPTN,SPY Oct 01 '24 $577 Call,-5,157.42,0.32,2.57,SPY Oct 01 '24 $577 Call
9/30/2024,Bought To Cover,OPTN,SPY Oct 01 '24 $574 Call,5,-702.56,1.4,2.56,SPY Oct 01 '24 $574 Call
9/30/2024,Sold Short,OPTN,SPY Oct 01 '24 $574 Call,-5,372.41,0.75,2.58,SPY Oct 01 '24 $574 Call
9/30/2024,Bought To Cover,OPTN,SPY Sep 30 '24 $574 Call,5,-77.56,0.15,2.56,SPY Sep 30 '24 $574 Call
9/27/2024,Sold Short,OPTN,SPY Sep 30 '24 $574 Call,-5,467.41,0.94,2.58,SPY Sep 30 '24 $574 Call
9/27/2024,Bought To Cover,OPTN,SPY Sep 27 '24 $574 Call,5,-67.56,0.13,2.56,SPY Sep 27 '24 $574 Call
9/26/2024,Sold Short,OPTN,SPY Sep 27 '24 $574 Call,-5,302.42,0.61,2.57,SPY Sep 27 '24 $574 Call
9/26/2024,Bought To Cover,OPTN,SPY Sep 26 '24 $573 Call,5,-102.56,0.2,2.56,SPY Sep 26 '24 $573 Call
9/25/2024,Bought To Cover,OPTN,SPY Sep 25 '24 $573 Call,5,-72.56,0.14,2.56,SPY Sep 25 '24 $573 Call
9/25/2024,Sold Short,OPTN,SPY Sep 26 '24 $573 Call,-5,312.42,0.63,2.57,SPY Sep 26 '24 $573 Call
9/25/2024,Bought To Open,OPTN,SPY Dec 19 '25 $535 Call,3,-23734.53,79.11,1.53,SPY Dec 19 '25 $535 Call
9/25/2024,Bought To Open,OPTN,SPY Dec 19 '25 $535 Call,2,-15825.02,79.12,1.02,SPY Dec 19 '25 $535 Call
9/25/2024,Sold To Close,OPTN,SPY Sep 19 '25 $530 Call,-6,45955.63,76.6,4.35,SPY Sep 19 '25 $530 Call
9/23/2024,Transfer, , ,0,-1000,0,0,ACH WITHDRAWL  REFID:117709931906;
9/23/2024,Sold Short,OPTN,SPY Sep 25 '24 $573 Call,-1,48.48,0.49,0.52,SPY Sep 25 '24 $573 Call
9/23/2024,Sold Short,OPTN,SPY Sep 25 '24 $573 Call,-4,205.93,0.52,2.06,SPY Sep 25 '24 $573 Call
9/20/2024,Interest,MMF,CBP,-0.04,0.04,0,0,CASH BALANCE PROGRAM (Period 09/01-09/19)
9/19/2024,Bought To Cover,OPTN,SPY Sep 19 '24 $567 Call,6,-2103.07,3.5,3.07,SPY Sep 19 '24 $567 Call
9/18/2024,Sold Short,OPTN,SPY Sep 19 '24 $567 Call,-6,752.88,1.26,3.1,SPY Sep 19 '24 $567 Call
9/18/2024,Bought To Cover,OPTN,SPY Sep 18 '24 $566 Call,6,-297.07,0.49,3.07,SPY Sep 18 '24 $566 Call
9/17/2024,Transfer, , ,0,-3000,0,0,ACH WITHDRAWL  REFID:117266777906;
9/17/2024,Sold Short,OPTN,SPY Sep 18 '24 $566 Call,-6,926.88,1.55,3.1,SPY Sep 18 '24 $566 Call
9/17/2024,Bought To Cover,OPTN,SPY Sep 18 '24 $571 Call,6,-249.07,0.41,3.07,SPY Sep 18 '24 $571 Call
9/17/2024,Sold Short,OPTN,SPY Sep 18 '24 $571 Call,-6,614.89,1.03,3.09,SPY Sep 18 '24 $571 Call
9/17/2024,Bought To Cover,OPTN,SPY Sep 17 '24 $565 Call,6,-1017.07,1.69,3.07,SPY Sep 17 '24 $565 Call
9/16/2024,Transfer, , ,0,-500,0,0,ACH WITHDRAWL  REFID:117192304906;
9/13/2024,Sold Short,OPTN,SPY Sep 17 '24 $565 Call,-6,548.89,0.92,3.09,SPY Sep 17 '24 $565 Call
9/11/2024,Bought To Cover,OPTN,SPY Sep 13 '24 $560 Call,6,-213.07,0.35,3.07,SPY Sep 13 '24 $560 Call
9/11/2024,Sold Short,OPTN,SPY Sep 13 '24 $560 Call,-6,254.9,0.43,3.08,SPY Sep 13 '24 $560 Call
9/11/2024,Bought To Cover,OPTN,SPY Sep 13 '24 $554 Call,6,-1347.07,2.24,3.07,SPY Sep 13 '24 $554 Call
9/11/2024,Sold Short,OPTN,SPY Sep 16 '24 $554 Call,-6,782.88,1.31,3.1,SPY Sep 16 '24 $554 Call
9/11/2024,Bought To Cover,OPTN,SPY Sep 13 '24 $545 Call,6,-2961.07,4.93,3.07,SPY Sep 13 '24 $545 Call
9/11/2024,Bought To Cover,OPTN,SPY Sep 16 '24 $554 Call,6,-801.07,1.33,3.07,SPY Sep 16 '24 $554 Call
9/11/2024,Sold Short,OPTN,SPY Sep 13 '24 $554 Call,-6,506.89,0.85,3.09,SPY Sep 13 '24 $554 Call
9/11/2024,Bought To Cover,OPTN,SPY Sep 11 '24 $551 Call,6,-18.07,0.03,0.07,SPY Sep 11 '24 $551 Call
9/11/2024,Sold Short,OPTN,SPY Sep 13 '24 $545 Call,-6,1274.87,2.13,3.11,SPY Sep 13 '24 $545 Call
9/10/2024,Bought To Cover,OPTN,SPY Sep 11 '24 $548 Call,6,-1869.07,3.11,3.07,SPY Sep 11 '24 $548 Call
9/10/2024,Sold Short,OPTN,SPY Sep 11 '24 $551 Call,-6,986.88,1.65,3.1,SPY Sep 11 '24 $551 Call
9/9/2024,Sold Short,OPTN,SPY Sep 11 '24 $548 Call,-1,192.48,1.93,0.52,SPY Sep 11 '24 $548 Call
9/9/2024,Bought To Cover,OPTN,SPY Sep 10 '24 $551 Call,6,-183.07,0.3,3.07,SPY Sep 10 '24 $551 Call
9/9/2024,Sold Short,OPTN,SPY Sep 11 '24 $548 Call,-5,957.4,1.92,2.59,SPY Sep 11 '24 $548 Call
9/9/2024,Bought To Cover,OPTN,SPY Sep 09 '24 $544 Call,6,-1719.07,2.86,3.07,SPY Sep 09 '24 $544 Call
9/9/2024,Sold Short,OPTN,SPY Sep 10 '24 $551 Call,-6,380.89,0.64,3.09,SPY Sep 10 '24 $551 Call
9/6/2024,Bought To Cover,OPTN,SPY Sep 09 '24 $547 Call,6,-375.07,0.62,3.07,SPY Sep 09 '24 $547 Call
9/6/2024,Sold Short,OPTN,SPY Sep 09 '24 $544 Call,-6,776.88,1.3,3.1,SPY Sep 09 '24 $544 Call
9/6/2024,Bought To Cover,OPTN,SPY Sep 06 '24 $553 Call,6,-30.07,0.05,0.07,SPY Sep 06 '24 $553 Call
9/6/2024,Sold Short,OPTN,SPY Sep 09 '24 $547 Call,-6,848.88,1.42,3.1,SPY Sep 09 '24 $547 Call
9/5/2024,Transfer, , ,0,-500,0,0,ACH WITHDRAWL  REFID:116416591906;
9/5/2024,Sold Short,OPTN,SPY Sep 06 '24 $553 Call,-6,758.88,1.27,3.1,SPY Sep 06 '24 $553 Call
9/5/2024,Bought To Cover,OPTN,SPY Sep 06 '24 $557 Call,6,-255.07,0.42,3.07,SPY Sep 06 '24 $557 Call
9/5/2024,Bought To Cover,OPTN,SPY Sep 06 '24 $555 Call,1,-255.51,2.55,0.51,SPY Sep 06 '24 $555 Call
9/5/2024,Sold Short,OPTN,SPY Sep 06 '24 $557 Call,-5,832.4,1.67,2.59,SPY Sep 06 '24 $557 Call
9/5/2024,Bought To Cover,OPTN,SPY Sep 06 '24 $555 Call,5,-1262.56,2.52,2.56,SPY Sep 06 '24 $555 Call
9/5/2024,Sold Short,OPTN,SPY Sep 06 '24 $557 Call,-1,169.48,1.7,0.52,SPY Sep 06 '24 $557 Call
9/4/2024,Transfer, , ,0,-1200,0,0,ACH WITHDRAWL  REFID:116261725906;
9/3/2024,Transfer, , ,0,-500,0,0,ACH WITHDRAWL  REFID:116095814906;
9/3/2024,Sold Short,OPTN,SPY Sep 06 '24 $555 Call,-6,1532.86,2.56,3.12,SPY Sep 06 '24 $555 Call
9/3/2024,Bought To Cover,OPTN,SPY Sep 04 '24 $561 Call,6,-60.07,0.1,0.07,SPY Sep 04 '24 $561 Call
9/3/2024,Sold Short,OPTN,SPY Sep 04 '24 $561 Call,-4,393.92,0.99,2.07,SPY Sep 04 '24 $561 Call
9/3/2024,Bought To Cover,OPTN,SPY Sep 04 '24 $563 Call,4,-210.05,0.52,2.05,SPY Sep 04 '24 $563 Call
9/3/2024,Bought To Cover,OPTN,SPY Sep 04 '24 $563 Call,2,-109.02,0.54,1.02,SPY Sep 04 '24 $563 Call
9/3/2024,Sold Short,OPTN,SPY Sep 04 '24 $561 Call,-2,202.96,1.02,1.03,SPY Sep 04 '24 $561 Call
8/30/2024,Interest,MMF,CBP,-0.12,0.12,0,0,CASH BALANCE PROGRAM (Period 08/01-08/31)
8/30/2024,Sold Short,OPTN,SPY Sep 04 '24 $563 Call,-6,506.89,0.85,3.09,SPY Sep 04 '24 $563 Call
8/30/2024,Bought To Cover,OPTN,SPY Aug 30 '24 $563 Call,6,-42.07,0.07,0.07,SPY Aug 30 '24 $563 Call
8/29/2024,Bought To Cover,OPTN,SPY Aug 30 '24 $565 Call,6,-93.07,0.15,3.07,SPY Aug 30 '24 $565 Call
8/29/2024,Sold Short,OPTN,SPY Aug 30 '24 $563 Call,-6,248.9,0.42,3.08,SPY Aug 30 '24 $563 Call
8/29/2024,Sold Short,OPTN,SPY Aug 30 '24 $565 Call,-6,680.89,1.14,3.09,SPY Aug 30 '24 $565 Call
8/29/2024,Bought To Cover,OPTN,SPY Aug 30 '24 $563 Call,6,-1263.07,2.1,3.07,SPY Aug 30 '24 $563 Call
8/28/2024,Transfer, , ,0,-3500,0,0,ACH WITHDRAWL  REFID:115784504906;
8/28/2024,Sold Short,OPTN,SPY Aug 30 '24 $563 Call,-6,950.88,1.59,3.1,SPY Aug 30 '24 $563 Call
8/28/2024,Bought To Cover,OPTN,SPY Aug 30 '24 $566 Call,6,-501.07,0.83,3.07,SPY Aug 30 '24 $566 Call
8/28/2024,Bought To Cover,OPTN,SPY Aug 28 '24 $565 Call,6,-363.07,0.6,3.07,SPY Aug 28 '24 $565 Call
8/28/2024,Sold Short,OPTN,SPY Aug 30 '24 $566 Call,-6,728.88,1.22,3.1,SPY Aug 30 '24 $566 Call
8/26/2024,Sold Short,OPTN,SPY Aug 28 '24 $565 Call,-6,992.88,1.66,3.1,SPY Aug 28 '24 $565 Call
8/26/2024,Bought To Cover,OPTN,SPY Aug 27 '24 $567 Call,6,-153.07,0.25,3.07,SPY Aug 27 '24 $567 Call
8/23/2024,Transfer, , ,0,-1000,0,0,ACH WITHDRAWL  REFID:115374039906;
8/23/2024,Bought To Cover,OPTN,SPY Aug 26 '24 $562 Call,6,-849.07,1.41,3.07,SPY Aug 26 '24 $562 Call
8/23/2024,Sold Short,OPTN,SPY Aug 27 '24 $567 Call,-6,158.9,0.27,3.08,SPY Aug 27 '24 $567 Call
8/22/2024,Bought To Cover,OPTN,SPY Aug 26 '24 $568 Call,6,-141.07,0.23,3.07,SPY Aug 26 '24 $568 Call
8/22/2024,Sold Short,OPTN,SPY Aug 26 '24 $562 Call,-6,842.88,1.41,3.1,SPY Aug 26 '24 $562 Call
8/21/2024,Sold Short,OPTN,SPY Aug 26 '24 $568 Call,-6,584.89,0.98,3.09,SPY Aug 26 '24 $568 Call
8/21/2024,Bought To Cover,OPTN,SPY Aug 23 '24 $564 Call,6,-1251.07,2.08,3.07,SPY Aug 23 '24 $564 Call
8/19/2024,Sold Short,OPTN,SPY Aug 23 '24 $564 Call,-6,416.89,0.7,3.09,SPY Aug 23 '24 $564 Call
8/13/2024,Bought To Cover,OPTN,SPY Aug 23 '24 $547 Call,6,-2061.07,3.43,3.07,SPY Aug 23 '24 $547 Call
8/13/2024,Sold Short,OPTN,SPY Aug 23 '24 $547 Call,-6,1430.87,2.39,3.11,SPY Aug 23 '24 $547 Call
8/13/2024,Bought To Cover,OPTN,SPY Aug 23 '24 $540 Call,6,-3411.07,5.68,3.07,SPY Aug 23 '24 $540 Call
8/12/2024,Transfer, , ,0,-1000,0,0,ACH WITHDRAWL  REFID:114506725906;
8/12/2024,Sold Short,OPTN,SPY Aug 23 '24 $540 Call,-6,2516.83,4.2,3.15,SPY Aug 23 '24 $540 Call
8/12/2024,Bought To Cover,OPTN,SPY Aug 19 '24 $538 Call,6,-2145.07,3.57,3.07,SPY Aug 19 '24 $538 Call
8/8/2024,Transfer, , ,0,-1000,0,0,ACH WITHDRAWL  REFID:114293710906;
8/8/2024,Bought To Cover,OPTN,SPY Aug 20 '24 $535 Call,1,-531.51,5.31,0.51,SPY Aug 20 '24 $535 Call
8/8/2024,Bought To Cover,OPTN,SPY Aug 20 '24 $535 Call,4,-2126.05,5.31,2.05,SPY Aug 20 '24 $535 Call
8/8/2024,Sold Short,OPTN,SPY Aug 19 '24 $538 Call,-1,360.47,3.61,0.53,SPY Aug 19 '24 $538 Call
8/8/2024,Sold Short,OPTN,SPY Aug 19 '24 $538 Call,-4,1437.89,3.6,2.1,SPY Aug 19 '24 $538 Call
8/8/2024,Bought To Cover,OPTN,SPY Aug 20 '24 $535 Call,1,-532.51,5.32,0.51,SPY Aug 20 '24 $535 Call
8/8/2024,Sold Short,OPTN,SPY Aug 19 '24 $538 Call,-1,359.47,3.6,0.53,SPY Aug 19 '24 $538 Call
8/8/2024,Bought To Cover,OPTN,SPY Aug 19 '24 $525 Call,6,-5877.07,9.79,3.07,SPY Aug 19 '24 $525 Call
8/8/2024,Sold Short,OPTN,SPY Aug 20 '24 $535 Call,-6,2780.83,4.64,3.15,SPY Aug 20 '24 $535 Call
8/7/2024,Bought To Cover,OPTN,SPY Aug 19 '24 $540 Call,5,-797.56,1.59,2.56,SPY Aug 19 '24 $540 Call
8/7/2024,Bought To Cover,OPTN,SPY Aug 19 '24 $540 Call,1,-160.51,1.6,0.51,SPY Aug 19 '24 $540 Call
8/7/2024,Sold Short,OPTN,SPY Aug 19 '24 $525 Call,-1,711.47,7.12,0.53,SPY Aug 19 '24 $525 Call
8/7/2024,Sold Short,OPTN,SPY Aug 19 '24 $525 Call,-5,3552.33,7.11,2.66,SPY Aug 19 '24 $525 Call
8/7/2024,Bought To Cover,OPTN,SPY Aug 19 '24 $529 Call,6,-5085.07,8.47,3.07,SPY Aug 19 '24 $529 Call
8/7/2024,Sold Short,OPTN,SPY Aug 19 '24 $540 Call,-6,1778.86,2.97,3.12,SPY Aug 19 '24 $540 Call
8/6/2024,Sold Short,OPTN,SPY Aug 19 '24 $529 Call,-6,3500.81,5.84,3.17,SPY Aug 19 '24 $529 Call
8/6/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $532 Call,6,-2487.07,4.14,3.07,SPY Aug 16 '24 $532 Call
8/6/2024,Sold Short,OPTN,SPY Aug 16 '24 $532 Call,-6,3302.81,5.51,3.17,SPY Aug 16 '24 $532 Call
8/6/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $528 Call,6,-4599.07,7.66,3.07,SPY Aug 16 '24 $528 Call
8/6/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $520 Call,6,-7059.07,11.76,3.07,SPY Aug 16 '24 $520 Call
8/6/2024,Sold Short,OPTN,SPY Aug 16 '24 $528 Call,-6,4136.79,6.9,3.19,SPY Aug 16 '24 $528 Call
8/5/2024,Transfer, , ,0,-500,0,0,ACH WITHDRAWL  REFID:113916119906;
8/5/2024,Sold Short,OPTN,SPY Aug 16 '24 $520 Call,-6,6230.73,10.39,3.25,SPY Aug 16 '24 $520 Call
8/5/2024,Bought To Cover,OPTN,SPY Aug 19 '24 $527 Call,6,-4377.07,7.29,3.07,SPY Aug 19 '24 $527 Call
8/5/2024,Sold Short,OPTN,SPY Aug 19 '24 $527 Call,-6,4736.77,7.9,3.21,SPY Aug 19 '24 $527 Call
8/5/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $520 Call,6,-7203.07,12,3.07,SPY Aug 16 '24 $520 Call
8/5/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $534 Call,1,-299.51,2.99,0.51,SPY Aug 16 '24 $534 Call
8/5/2024,Sold Short,OPTN,SPY Aug 16 '24 $520 Call,-1,1004.46,10.05,0.54,SPY Aug 16 '24 $520 Call
8/5/2024,Sold Short,OPTN,SPY Aug 16 '24 $520 Call,-5,4987.29,9.98,2.7,SPY Aug 16 '24 $520 Call
8/5/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $534 Call,5,-1542.56,3.08,2.56,SPY Aug 16 '24 $534 Call
8/2/2024,Sold Short,OPTN,SPY Aug 16 '24 $534 Call,-6,4874.77,8.13,3.21,SPY Aug 16 '24 $534 Call
8/2/2024,Bought To Cover,OPTN,SPY Aug 23 '24 $547 Call,6,-2391.07,3.98,3.07,SPY Aug 23 '24 $547 Call
8/1/2024,Sold Short,OPTN,SPY Aug 23 '24 $547 Call,-6,4352.78,7.26,3.2,SPY Aug 23 '24 $547 Call
8/1/2024,Bought To Cover,OPTN,SPY Aug 23 '24 $562 Call,6,-1155.07,1.92,3.07,SPY Aug 23 '24 $562 Call
7/31/2024,Interest,MMF,CBP,-0.14,0.14,0,0,CASH BALANCE PROGRAM (Period 07/01-07/31)
7/31/2024,Sold Short,OPTN,SPY Aug 23 '24 $562 Call,-1,414.47,4.15,0.53,SPY Aug 23 '24 $562 Call
7/31/2024,Bought To Cover,OPTN,SPY Aug 16 '24 $559 Call,5,-2112.56,4.22,2.56,SPY Aug 16 '24 $559 Call
